TCR_GD,CBTM_ID,ID,Identity,Sanger Sample ID
Pan_T9475744,390C,A29,A29-BMA-1,Pan_T7935495
Pan_T9475745,390C,A29,A29-LIV-1,Pan_T7935497
Pan_T9475755,390C,A29,A29-SPL-1,Pan_T7935491
Pan_T9475753,403C,A31,A31-SPL-1,Pan_T7917815
Pan_T9475747,403C,A31,A31-LIV-1,Pan_T7917819
Pan_T9475746,403C,A31,A31-BMA-1,Pan_T7917822
Pan_T9475751,412C,A36,A36-LIV-1,Pan_T7980359
Pan_T9475750,412C,A36,A36-BMA-1,Pan_T7980360
Pan_T9475754,412C,A36,A36-SPL-1,Pan_T7980364
Pan_T9475748,423C,A35,A35-BMA-1,Pan_T7991590
Pan_T9475756,423C,A35,A35-SPL-1,Pan_T7991591
Pan_T9475749,423C,A35,A35-LIV-1,Pan_T7991593
Pan_T9475752,428C,A37,A37-BMA-1,Pan_T8010327
Pan_T9475757,428C,A37,A37-SPL-1,Pan_T8010330
