Sample ID (internal),Sample_ID,Site,Donor ID,Hashtag,Fresh/frozen,Cell type,Sorting,Stimulation,GEX chem,Organ,Protein panel,lib
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0049
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0049
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0049
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0049
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0049
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0049
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0049
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0049
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0097
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0097
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0097
82,D496-JEJLP-82,NY,D496,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0097
83,D496-LNG-83,NY,D496,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0097
84,D496-LLN-84,NY,D496,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0097
85,D496-SPL-85,NY,D496,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0097
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0050
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0050
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0050
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0050
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0050
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0050
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0050
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0050
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0098
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0098
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0098
82,D496-JEJLP-82,NY,D496,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0098
83,D496-LNG-83,NY,D496,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0098
84,D496-LLN-84,NY,D496,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0098
85,D496-SPL-85,NY,D496,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0098
71,D503-BLO-71,NY,D503,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0051
72,D503-BMA-72,NY,D503,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0051
73,D503-JEJEPI-73,NY,D503,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0051
74,D503-JEJLP-74,NY,D503,C254,Fresh,MNC,No ,Nonstim,3'v3,JEJLP,Protein panel 1,CZINY-0051
75,D503-LNG-75,NY,D503,C255,Fresh,MNC,No ,Nonstim,3'v3,LNG,Protein panel 1,CZINY-0051
76,D503-LLN-76,NY,D503,C256,Fresh,MNC,No ,Nonstim,3'v3,LLN,Protein panel 1,CZINY-0051
77,D503-SPL-77,NY,D503,C257,Fresh,MNC,No ,Nonstim,3'v3,SPL,Protein panel 1,CZINY-0051
78,D503-BAL-78,NY,D503,C258,Fresh,MNC,No ,Nonstim,3'v3,BAL,Protein panel 1,CZINY-0051
79,D496-BLO-79,NY,D496,C251,Fresh,MNC,No ,Nonstim,3'v3,BLO,Protein panel 1,CZINY-0099
80,D496-BMA-80,NY,D496,C252,Fresh,MNC,No ,Nonstim,3'v3,BMA,Protein panel 1,CZINY-0099
81,D496-JEJEPI-81,NY,D496,C253,Fresh,MNC,No ,Nonstim,3'v3,JEJEPI,Protein panel 1,CZINY-0099
