,Hashtag+combined_ID,Sample ID (internal),Sample_ID,Site,Donor ID,Hashtag,Fresh/frozen,Cell type,Sorting,Stimulation,GEX chem,GEX lib,ADT lib,TCR lib,BCR lib,HTO lib,Organ,Protein panel,symbol,combined_ID
0,HTO_C0251_CZI-IA9924320+CZI-IA9924368,33,582C-SPL-33,UK,582C,HTO_C0251,Fresh,MNC,No ,Nonstim,5'v2,CZI-IA9924320,,CZI-IA10586214,CZI-IA10586223,CZI-IA9924368,SPL,None,+,CZI-IA9924320+CZI-IA9924368
1,HTO_C0252_CZI-IA9924320+CZI-IA9924368,34,582C-MLN-34,UK,582C,HTO_C0252,Fresh,MNC,No ,Nonstim,5'v2,CZI-IA9924320,,CZI-IA10586214,CZI-IA10586223,CZI-IA9924368,MLN,None,+,CZI-IA9924320+CZI-IA9924368
2,HTO_C0253_CZI-IA9924321+CZI-IA9924369,35,582C-TLN-35,UK,582C,HTO_C0253,Fresh,MNC,No ,Nonstim,5'v2,CZI-IA9924321,,CZI-IA10586215,CZI-IA10586224,CZI-IA9924369,TLN,None,+,CZI-IA9924321+CZI-IA9924369
3,HTO_C0254_CZI-IA9924321+CZI-IA9924369,36,582C-JEJEPI-36,UK,582C,HTO_C0254,Fresh,MNC,No ,Nonstim,5'v2,CZI-IA9924321,,CZI-IA10586215,CZI-IA10586224,CZI-IA9924369,JEJEPI,None,+,CZI-IA9924321+CZI-IA9924369
4,HTO_C0255_CZI-IA9924321+CZI-IA9924369,37,582C-JEJLP-37,UK,582C,HTO_C0255,Fresh,MNC,No ,Nonstim,5'v2,CZI-IA9924321,,CZI-IA10586215,CZI-IA10586224,CZI-IA9924369,JEJLP,None,+,CZI-IA9924321+CZI-IA9924369
36,HTO_C0251_CZI-IA10244332+CZI-IA10244434,86,621B-SPL-86,UK,621B,HTO_C0251,Fresh,MNC,No ,Nonstim,5'v2,CZI-IA10244332,CZI-IA10244434,CZI-IA10244332,CZI-IA10244332,,,Protein panel 2,+,CZI-IA10244332+CZI-IA10244434
37,HTO_C0252_CZI-IA10244332+CZI-IA10244434,87,621B-MLN-87,UK,621B,HTO_C0252,Fresh,MNC,No ,Nonstim,5'v2,CZI-IA10244332,CZI-IA10244434,CZI-IA10244332,CZI-IA10244332,,,Protein panel 2,+,CZI-IA10244332+CZI-IA10244434
38,HTO_C0253_CZI-IA10244332+CZI-IA10244434,88,621B-TLN-88,UK,621B,HTO_C0253,Fresh,MNC,No ,Nonstim,5'v2,CZI-IA10244332,CZI-IA10244434,CZI-IA10244332,CZI-IA10244332,,,Protein panel 2,+,CZI-IA10244332+CZI-IA10244434
39,HTO_C0251_CZI-IA10244331+CZI-IA10244433,89,621B-BLD-89,UK,621B,HTO_C0251,Fresh,MNC,No ,Nonstim,5'v2,CZI-IA10244331,CZI-IA10244433,CZI-IA10244331,CZI-IA10244331,,,Protein panel 2,+,CZI-IA10244331+CZI-IA10244433
40,HTO_C0252_CZI-IA10244331+CZI-IA10244433,90,621B-BMA-90,UK,621B,HTO_C0252,Fresh,MNC,No ,Nonstim,5'v2,CZI-IA10244331,CZI-IA10244433,CZI-IA10244331,CZI-IA10244331,,,Protein panel 2,+,CZI-IA10244331+CZI-IA10244433
41,HTO_C0253_CZI-IA10244335+CZI-IA10244437,91,621B-JEJEPI-91,UK,621B,HTO_C0253,Fresh,MNC,No ,Nonstim,5'v2,CZI-IA10244335,CZI-IA10244437,CZI-IA10244335,,,,Protein panel 2,+,CZI-IA10244335+CZI-IA10244437
42,HTO_C0251_CZI-IA10244335+CZI-IA10244437,92,621B-JEJLP-92,UK,621B,HTO_C0251,Fresh,MNC,No ,Nonstim,5'v2,CZI-IA10244335,CZI-IA10244437,CZI-IA10244335,,,,Protein panel 2,+,CZI-IA10244335+CZI-IA10244437
43,HTO_C0254_CZI-IA10244335+CZI-IA10244437,99,621B-JEJEPI-99,UK,621B,HTO_C0254,Fresh,MNC,No ,PMA+I,5'v2,CZI-IA10244335,CZI-IA10244437,CZI-IA10244335,,,,Protein panel 2,+,CZI-IA10244335+CZI-IA10244437
44,HTO_C0252_CZI-IA10244335+CZI-IA10244437,100,621B-JEJLP-100,UK,621B,HTO_C0252,Fresh,MNC,No ,PMA+I,5'v2,CZI-IA10244335,CZI-IA10244437,CZI-IA10244335,,,,Protein panel 2,+,CZI-IA10244335+CZI-IA10244437
